K,M,residual_linf,u_l1,u_tail_075_ratio_plain,u_tail_090_ratio_plain,u_decay_strip,u_decay_nu,u_decay_r2,recommended_nu_quarter_fit,recommended_nu_half_fit,recommendation_label,recommendation_score,rep_nu,rep_u_l1_nu,rep_residual_l1_nu,rep_u_tail_075_weighted_ratio,npz_path,record_path
0.9715,256,2.8296809340133677e-12,0.09232177874671497,0.001284501846802086,0.00010754724104732169,0.04529621097841618,1.0463377507388183,0.5358380093335849,1.0113884125383588,1.022906521016861,strong_phase2_candidate,5,1.005,0.09494992566388594,7.865390365103443e-12,0.002112259306963733,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9715000000_M256_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase2_tail_audit/records/K0p9715000000_M256_steps44.phase2_tail_audit.json
0.9715,1024,4.481900961472718e-13,0.09384021206443241,0.0003301143163225392,1.8897709234395248e-05,0.013561566606391651,1.0136539417623944,0.6074316208767203,1.0033961455301699,1.006803824864802,strong_phase2_candidate,6,1.005,0.09907809111606519,2.1106693970226704e-12,0.0024342720615450823,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9715000000_M1024_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase2_tail_audit/records/K0p9715000000_M1024_steps44.phase2_tail_audit.json
0.9716,128,5.3637649877202875e-15,0.09076726672209717,0.005018426822206224,0.0005692006766308773,0.09417616672295695,1.0987532926353294,0.6298041818833284,1.023823390656609,1.0482143352555953,strong_phase2_candidate,5,1.005,0.09274045699266328,6.352830401177573e-15,0.006452428688392856,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9716000000_M128_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase2_tail_audit/records/K0p9716000000_M128_steps44.phase2_tail_audit.json
0.9716,256,2.9208024887594775e-12,0.09237682369033992,0.001295158253033772,0.00010850989731503246,0.045200168404760856,1.0462372625939718,0.5349059610894831,1.0113641287433683,1.0228574009088323,strong_phase2_candidate,5,1.005,0.09501377293106181,8.126477093787655e-12,0.0021296312999145943,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9716000000_M256_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase2_tail_audit/records/K0p9716000000_M256_steps44.phase2_tail_audit.json
0.9716,1024,9.226230890391207e-13,0.09392777214903983,0.0003386981900413479,1.888642953134805e-05,0.013472781152455945,1.0135639480321676,0.6045277403978948,1.0033738740317792,1.006759131089541,strong_phase2_candidate,6,1.005,0.09923787823344765,4.297323930495405e-12,0.0024946898214411187,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9716000000_M1024_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase2_tail_audit/records/K0p9716000000_M1024_steps44.phase2_tail_audit.json
0.971635,128,4.649058915617843e-16,0.090782066542789,0.00502575342137223,0.0005700819577372998,0.09414176570204155,1.09871549505047,0.629650825383806,1.023814585552003,1.04819630558902,strong_phase2_candidate,5,1.005,0.09275648865566602,7.143888535851856e-16,0.006461785213586564,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9716350000_M128_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase2_tail_audit/records/K0p9716350000_M128_steps44.phase2_tail_audit.json
0.971635,256,2.9379831900655518e-12,0.09239612534564251,0.0012989033641824955,0.00010884837178326638,0.04516659594155335,1.046202138421573,0.5345796871485684,1.0113556402827402,1.0228402311317115,strong_phase2_candidate,5,1.005,0.09503616609830151,8.186922200947303e-12,0.0021357359816048353,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9716350000_M256_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase2_tail_audit/records/K0p9716350000_M256_steps44.phase2_tail_audit.json
0.971635,1024,5.707517791719852e-13,0.09395860927786391,0.0003417266159484003,1.8874039625581424e-05,0.013441864516009355,1.0135326125284676,0.6035104721613909,1.0033661188254293,1.0067435684068051,strong_phase2_candidate,6,1.005,0.09929431516152995,2.681609965532801e-12,0.0025159613858008884,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9716350000_M1024_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase2_tail_audit/records/K0p9716350000_M1024_steps44.phase2_tail_audit.json
0.97165,128,3.0531133177191805e-15,0.09078841172016774,0.005028895900433285,0.0005704599780665426,0.09412702487623821,1.0986992991961204,0.6295850875336528,1.02381081259084,1.0481885799779163,strong_phase2_candidate,5,1.005,0.0927633621237618,3.6221993363245e-15,0.006465798305828819,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9716500000_M128_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase2_tail_audit/records/K0p9716500000_M128_steps44.phase2_tail_audit.json
0.97165,256,2.951722199995288e-12,0.09240440319465829,0.0013005108519613582,0.00010899367766099758,0.04515221450358822,1.0461870926386103,0.5344398468459277,1.0113520041021766,1.0228328762014889,strong_phase2_candidate,5,1.005,0.09504577058192856,8.227541783153515e-12,0.0021383561603274207,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9716500000_M256_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase2_tail_audit/records/K0p9716500000_M256_steps44.phase2_tail_audit.json
0.97165,1024,8.193792866428851e-13,0.09397185570976398,0.0003430282094933207,1.886734213015237e-05,0.013428639951646908,1.0135192090898273,0.603074373303976,1.0033628015609584,1.0067369115562552,strong_phase2_candidate,6,1.005,0.09931858396278449,3.82252263601867e-12,0.002525096569460385,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9716500000_M1024_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase2_tail_audit/records/K0p9716500000_M1024_steps44.phase2_tail_audit.json
