K,M,embedding_residual_linf_max,scalar_residual_linf,upper_triangular_defect_linf_max,a11_minus_1_linf,a21_linf,a22_minus_1_linf,twist_average,twist_min,twist_max,twist_centered_linf,frame_tangent_norm_min,frame_tangent_norm_max,frame_normal_norm_max,frame_det_defect_linf,rep_nu,rep_embedding_residual_l1_nu_proxy,rep_a21_l1_nu,rep_Z_proxy,rep_Q_proxy,rep_radii_margin_proxy,rep_radii_proxy_positive_margin,recommendation_label,recommendation_score,npz_path,record_path
0.9685,1024,1.0429906398242883,1.4422490979271174e-14,0.004593620050918679,0.004593620050918679,0.00021600587930048487,1.8301234892659224e-05,1.2769160664381565,-0.13707529809569186,4.446403894427793,3.169487827989637,0.5771487326157122,5.166152499145838,1.7326556284163903,2.220446049250313e-16,1.003,4.840430897332945,0.0016273148353361535,0.3582897081911538,1959.2269575536682,-293786922.9359693,False,weak_or_needs_auto_reducibility_improvement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9685000000_M1024_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4_auto_reducibility/records/K0p9685000000_M1024_steps44.phase4_auto_reducibility_audit.json
0.969,128,1.0651937640731175,3.649858193455202e-15,0.021484571847593115,0.021484571847593115,0.015521916686613402,0.0011032306869713793,1.2268668488911199,-0.1132187557186014,3.504581428577856,2.277714579686736,0.6512132601760834,3.643562158354938,1.535595266794179,2.220446049250313e-16,1.003,2.919145726174281,0.018100697543204456,0.7576866740448325,1106.5215561452126,-60346371.96856146,False,weak_or_needs_auto_reducibility_improvement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9690000000_M128_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4_auto_reducibility/records/K0p9690000000_M128_steps44.phase4_auto_reducibility_audit.json
0.969,256,1.1100610108233,1.2242706848297757e-12,0.020763773030895383,0.020763773030895383,0.0038638480673882647,0.00026219748668587783,1.2580351438812303,-0.14460647630505952,4.369890928451204,3.1118557845699737,0.5794217797252574,4.2640361957295685,1.7258584937455523,2.220446049250313e-16,1.003,3.3067875057956155,0.005884596156406436,0.6592433119192957,1421.8332044922902,-99504088.17174767,False,weak_or_needs_auto_reducibility_improvement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9690000000_M256_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4_auto_reducibility/records/K0p9690000000_M256_steps44.phase4_auto_reducibility_audit.json
0.969,1024,1.0429906398242879,1.259929660601955e-14,0.005948680070540946,0.005948680070540946,0.00029055147795245886,2.3885434100034963e-05,1.286605425961123,-0.14066563394942788,4.588342610419899,3.3017371844587764,0.5681811492061754,5.3300491474957585,1.760002072221391,3.3306690738754696e-16,1.003,4.84043089733294,0.002161778955589949,0.46890683746046635,2066.7208894305386,-309905738.4874542,False,weak_or_needs_auto_reducibility_improvement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9690000000_M1024_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4_auto_reducibility/records/K0p9690000000_M1024_steps44.phase4_auto_reducibility_audit.json
0.9695,128,1.0651937640731177,5.814793091474257e-15,0.022283515514497365,0.022283515514497365,0.01610358510860488,0.0011396571915727183,1.2294485547063945,-0.11385781001484113,3.5189486417002707,2.2895000869938764,0.649972880547454,3.665314551146553,1.5385257291930827,2.220446049250313e-16,1.003,2.9191457261742766,0.018772657415963352,0.7858968809361606,1117.3774757209142,-60938428.2260002,False,weak_or_needs_auto_reducibility_improvement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9695000000_M128_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4_auto_reducibility/records/K0p9695000000_M128_steps44.phase4_auto_reducibility_audit.json
0.9695,256,1.1100610108232962,1.459415921445384e-12,0.022369191158601254,0.022369191158601254,0.004172294281109323,0.0002816197087169847,1.262992188805534,-0.1472053538330057,4.43966550048314,3.176673311677606,0.5746964053860064,4.311777704527631,1.7400491644424503,3.3306690738754696e-16,1.003,3.3067875057956506,0.006349272984266321,0.7111197014197521,1448.3538736068826,-101360097.85791257,False,weak_or_needs_auto_reducibility_improvement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9695000000_M256_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4_auto_reducibility/records/K0p9695000000_M256_steps44.phase4_auto_reducibility_audit.json
0.9695,1024,1.0429906398242872,1.301736496372996e-14,0.007660844904239905,0.007660844904239905,0.00038985314763540294,3.1443716970502855e-05,1.2976608689507731,-0.14471078670963045,4.752402993857462,3.454742124906689,0.5583027577778721,5.509912584087471,1.7911428630231894,2.220446049250313e-16,1.003,4.840430897332947,0.002864284216742192,0.6113327185014352,2187.9968820362606,-328091193.7517894,False,weak_or_needs_auto_reducibility_improvement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9695000000_M1024_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4_auto_reducibility/records/K0p9695000000_M1024_steps44.phase4_auto_reducibility_audit.json
0.97,128,1.0651937640731175,2.220446049250313e-15,0.023111047136772145,0.023111047136772145,0.016706887821390737,0.001177245292160345,1.2320926640442558,-0.11450300705194844,3.533494061736115,2.3014013976918593,0.6487252923365242,3.6873618100703642,1.5414845263675232,2.220446049250313e-16,1.003,2.9191457261742784,0.01946927892917779,0.8151267717192129,1128.432359518651,-61541335.64037464,False,weak_or_needs_auto_reducibility_improvement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9700000000_M128_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4_auto_reducibility/records/K0p9700000000_M128_steps44.phase4_auto_reducibility_audit.json
0.97,256,1.1100610108232887,1.72492575778449e-12,0.02409375395047375,0.02409375395047375,0.004505176090663809,0.00030242792866741475,1.2681897188678097,-0.14993072866242863,4.512948841488416,3.244759122620606,0.56984375717417,4.360764530987079,1.7548669918908222,2.220446049250313e-16,1.003,3.306787505795693,0.006849904884799261,0.7671660218713514,1475.8202407343492,-103282291.43038249,False,weak_or_needs_auto_reducibility_improvement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9700000000_M256_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4_auto_reducibility/records/K0p9700000000_M256_steps44.phase4_auto_reducibility_audit.json
0.97,1024,1.042990639824287,1.5557000132560006e-14,0.009804349855624839,0.009804349855624839,0.0005215473627784954,4.128644935263992e-05,1.3103708875183044,-0.14929271768119068,4.94292868280476,3.632557795286455,0.5474329089942067,5.707294493664043,1.8267078642336108,2.220446049250313e-16,1.003,4.840430897332949,0.0037834810110367522,0.793640587121099,2325.075869130356,-348646331.95595145,False,weak_or_needs_auto_reducibility_improvement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9700000000_M1024_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4_auto_reducibility/records/K0p9700000000_M1024_steps44.phase4_auto_reducibility_audit.json
